file,bugChurn,rank
org.apache.activemq.store.kahadb.MessageDatabase_java,923,1
org.apache.activemq.transport.amqp.message.JMSMappingOutboundTransformer_java,562,2
org.apache.activemq.broker.region.Queue_java,477,3
org.apache.activemq.network.DemandForwardingBridgeSupport_java,409,4
org.apache.activemq.transport.amqp.protocol.AmqpSender_java,396,5
org.apache.activemq.store.jdbc.TransactionContext_java,387,6
org.apache.activemq.store.kahadb.disk.page.PageFile_java,344,7
org.apache.activemq.broker.region.TopicSubscription_java,337,8
org.apache.activemq.broker.TransportConnection_java,299,9
org.apache.activemq.transport.amqp.client.AmqpReceiver_java,289,10
org.apache.activemq.util.JenkinsHash_java,266,11
org.apache.activemq.transport.failover.FailoverTransport_java,258,12
org.apache.activemq.transport.amqp.message.AMQPMessageIdHelper_java,256,13
org.apache.activemq.transport.tcp.TcpTransportServer_java,231,14
org.apache.activemq.command.ActiveMQTextMessage_java,223,15
org.apache.activemq.store.kahadb.KahaDBStore_java,222,16
org.apache.activemq.transport.amqp.message.UTF8BufferType_java,205,17
org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter_java,200,18
org.apache.activemq.transport.amqp.message.AmqpMessageSupport_java,195,19
org.apache.activemq.network.jms.SimpleJmsTopicConnector_java,182,20
org.apache.activemq.network.jms.SimpleJmsQueueConnector_java,182,20
org.apache.activemq.ra.ActiveMQResourceAdapter_java,174,22
org.apache.activemq.transport.amqp.message.InboundTransformer_java,174,22
org.apache.activemq.transport.amqp.message.AmqpWritableBuffer_java,164,24
org.apache.activemq.broker.region.cursors.AbstractStoreCursor_java,160,25
org.apache.activemq.broker.region.PrefetchSubscription_java,158,26
org.apache.activemq.ActiveMQMessageConsumer_java,155,27
org.apache.activemq.broker.BrokerService_java,152,28
org.apache.activemq.junit.RepeatStatement_java,147,29
org.apache.activemq.store.kahadb.disk.journal.Journal_java,144,30
org.apache.activemq.broker.scheduler.SchedulerBroker_java,129,31
org.apache.activemq.broker.region.cursors.QueueDispatchPendingList_java,127,32
org.apache.activemq.transport.auto.AutoTcpTransportServer_java,120,33
org.apache.activemq.transport.amqp.message.JMSMappingInboundTransformer_java,119,34
org.apache.activemq.advisory.AdvisoryBroker_java,118,35
org.apache.activemq.transport.amqp.message.AMQPNativeOutboundTransformer_java,116,36
org.apache.activemq.transport.amqp.protocol.AmqpReceiver_java,116,36
org.apache.activemq.junit.ActiveMQTestRunner_java,116,36
org.apache.activemq.broker.region.Topic_java,100,39
org.apache.activemq.store.jdbc.JdbcMemoryTransactionStore_java,99,40
org.apache.activemq.transport.amqp.client.AmqpMessage_java,86,41
org.apache.activemq.store.jdbc.JDBCMessageStore_java,80,42
org.apache.activemq.store.kahadb.MultiKahaDBTransactionStore_java,76,43
org.apache.activemq.transport.amqp.JMSClientTestSupport_java,74,44
org.apache.activemq.ActiveMQMessageTransformation_java,74,44
org.apache.activemq.store.kahadb.disk.journal.DataFileAppender_java,69,46
org.apache.activemq.transport.ws.jetty9.MQTTSocket_java,69,46
org.apache.activemq.transport.mqtt.MQTTProtocolConverter_java,66,48
org.apache.activemq.web.MessageServlet_java,65,49
org.apache.activemq.store.kahadb.MultiKahaDBPersistenceAdapter_java,65,49
org.apache.activemq.store.memory.MemoryTopicMessageStore_java,63,51
org.apache.activemq.broker.region.AbstractSubscription_java,62,52
org.apache.activemq.store.memory.MemoryMessageStore_java,61,53
org.apache.activemq.broker.region.virtual.MappedQueueFilter_java,59,54
org.apache.activemq.transport.auto.nio.AutoNIOSSLTransportServer_java,59,54
org.apache.activemq.ActiveMQConnection_java,58,56
org.apache.activemq.transport.http.HttpInactivityMonitor_java,58,56
org.apache.activemq.thread.TaskRunnerFactory_java,56,58
org.apache.activemq.util.LargeFile_java,56,58
org.apache.activemq.broker.region.virtual.CompositeDestination_java,55,60
org.apache.activemq.transport.stomp.ProtocolConverter_java,55,60
org.apache.activemq.broker.region.BaseDestination_java,54,62
org.apache.activemq.transaction.Transaction_java,53,63
org.apache.activemq.broker.region.IndirectMessageReference_java,52,64
org.apache.activemq.transport.stomp.StompWireFormat_java,52,64
org.apache.activemq.store.jdbc.JDBCPersistenceAdapter_java,50,66
org.apache.activemq.transport.amqp.message.OutboundTransformer_java,50,66
org.apache.activemq.transport.amqp.protocol.AmqpSession_java,49,68
org.apache.activemq.transport.amqp.client.AmqpValidator_java,48,69
org.apache.activemq.transport.discovery.simple.SimpleDiscoveryAgent_java,48,69
org.apache.activemq.transport.nio.NIOSSLTransport_java,47,71
org.apache.activemq.transport.amqp.client.AmqpConnection_java,47,71
org.apache.activemq.command.Message_java,46,73
org.apache.activemq.network.DurableConduitBridge_java,45,74
org.apache.activemq.store.memory.MemoryTransactionStore_java,44,75
org.apache.activemq.transport.amqp.client.AmqpSession_java,44,75
org.apache.activemq.transport.ws.MQTTWSConnection_java,43,77
org.apache.activemq.plugin.SubQueueSelectorCacheBroker_java,41,78
org.apache.activemq.network.ConduitBridge_java,41,78
org.apache.activemq.transport.amqp.client.util.NoOpAsyncResult_java,40,80
org.apache.activemq.broker.region.RegionBroker_java,38,81
org.apache.activemq.junit.RepeatRule_java,38,81
org.apache.activemq.state.ConnectionStateTracker_java,37,83
org.apache.activemq.transport.amqp.client.AmqpFrameValidator_java,37,83
org.apache.activemq.store.kahadb.KahaDBPersistenceAdapter_java,37,83
org.apache.activemq.broker.region.policy.AbortSlowAckConsumerStrategy_java,37,83
org.apache.activemq.jms.pool.ConnectionPool_java,37,83
org.apache.activemq.store.memory.MemoryTopicSub_java,37,83
org.apache.activemq.transport.auto.AutoSslTransportFactory_java,36,89
org.apache.activemq.transport.amqp.JMSClientContext_java,36,89
org.apache.activemq.transport.http.HttpTransportServer_java,35,91
org.apache.activemq.store.memory.MemoryPersistenceAdapter_java,35,91
org.apache.activemq.filter.DestinationMap_java,34,93
org.apache.activemq.command.ActiveMQBytesMessage_java,34,93
org.apache.activemq.broker.region.NullMessageReference_java,34,93
org.apache.activemq.junit.Repeat_java,34,93
org.apache.activemq.store.kahadb.scheduler.JobSchedulerImpl_java,32,97
org.apache.activemq.transport.protocol.MqttProtocolVerifier_java,32,97
org.apache.activemq.transport.amqp.message.AMQPRawInboundTransformer_java,32,97
org.apache.activemq.transport.amqp.protocol.AmqpConnection_java,31,100
org.apache.activemq.broker.TransactionBroker_java,30,101
