file,bugChurn,rank
org.apache.oozie.ambari.view.OozieProxyImpersonator_java,3812,1
org.apache.ambari.infra.solr.AmbariSolrCloudCLI_java,2294,2
org.apache.ambari.infra.solr.AmbariSolrCloudClient_java,1362,3
org.apache.ambari.logsearch.dao.SolrDaoBase_java,1079,4
org.apache.ambari.infra.solr.AmbariSolrCloudClientBuilder_java,860,5
org.apache.ambari.logfeeder.common.ConfigHandler_java,856,6
org.apache.ambari.logfeeder.LogFeeder_java,781,7
org.apache.ambari.server.credentialapi.CredentialUtil_java,580,8
org.apache.ambari.server.state.cluster.ClusterImpl_java,572,9
org.apache.ambari.logfeeder.util.LogFeederUtil_java,563,10
org.apache.ambari.server.orm.dao.RequestDAO_java,520,11
org.apache.ambari.server.view.ViewRegistry_java,512,12
org.apache.oozie.ambari.view.assets.AssetResource_java,483,13
org.apache.ambari.logsearch.util.SolrUtil_java,474,14
org.apache.ambari.logsearch.dao.SolrSchemaFieldDao_java,465,15
org.apache.oozie.ambari.view.WorkflowFilesService_java,448,16
org.apache.ambari.server.controller.AmbariManagementControllerImpl_java,438,17
org.apache.ambari.logsearch.config.zookeeper.LogSearchConfigZK_java,426,18
org.apache.ambari.server.controller.internal.UpgradeResourceProvider_java,390,19
org.apache.ambari.server.state.ConfigHelper_java,380,20
org.apache.ambari.logsearch.LogSearch_java,372,21
org.apache.oozie.ambari.view.OozieUtils_java,367,22
org.apache.ambari.server.configuration.Configuration_java,356,23
org.apache.ambari.infra.solr.commands.EnableKerberosPluginSolrZkCommand_java,352,24
org.apache.ambari.logsearch.manager.ServiceLogsManager_java,351,25
org.apache.ambari.infra.solr.commands.SecureSolrZNodeZkCommand_java,344,26
org.apache.ambari.infra.solr.util.AclUtils_java,340,27
org.apache.ambari.server.security.ldap.AmbariLdapDataPopulator_java,340,27
org.apache.ambari.infra.solr.commands.UpdateStateFileZkCommand_java,336,29
org.apache.ambari.server.checks.DatabaseConsistencyCheckHelper_java,327,30
org.apache.ambari.server.actionmanager.ActionScheduler_java,318,31
org.apache.ambari.infra.solr.util.ShardUtils_java,284,32
org.apache.oozie.ambari.view.OozieDelegate_java,279,33
org.apache.ambari.server.security.authorization.AmbariLdapBindAuthenticator_java,275,34
org.apache.ambari.server.topology.TopologyManager_java,273,35
org.apache.ambari.logsearch.steps.LogSearchDockerSteps_java,272,36
org.apache.ambari.server.controller.AmbariCustomCommandExecutionHelper_java,270,37
org.apache.ambari.infra.solr.commands.CreateCollectionCommand_java,248,38
org.apache.ambari.server.checks.MpackInstallChecker_java,240,39
org.apache.ambari.server.metrics.system.impl.AmbariMetricSinkImpl_java,239,40
org.apache.ambari.logsearch.manager.AuditLogsManager_java,237,41
org.apache.ambari.server.serveraction.upgrades.FixCapacitySchedulerOrderingPolicy_java,236,42
org.apache.oozie.ambari.view.workflowmanager.WorkflowManagerService_java,232,43
org.apache.ambari.infra.solr.commands.AbstractRetryCommand_java,232,43
org.apache.ambari.server.serveraction.ServerActionExecutor_java,228,45
org.apache.ambari.server.H2DatabaseCleaner_java,224,46
org.apache.oozie.ambari.view.workflowmanager.model.Workflow_java,221,47
org.apache.ambari.infra.solr.commands.GetSolrHostsCommand_java,212,48
org.apache.ambari.infra.solr.commands.AbstractSolrRetryCommand_java,212,48
org.apache.ambari.server.security.authorization.AmbariLdapUtils_java,207,50
org.apache.ambari.server.serveraction.upgrades.FixYarnWebServiceUrl_java,206,51
org.apache.ambari.infra.solr.commands.CreateShardCommand_java,204,52
org.apache.ambari.logsearch.handler.UploadConfigurationHandler_java,201,53
org.apache.ambari.logsearch.dao.UserDao_java,199,54
org.apache.ambari.infra.solr.commands.ListCollectionCommand_java,196,55
org.apache.ambari.infra.solr.commands.SecureZNodeZkCommand_java,196,55
org.apache.oozie.ambari.view.HDFSFileUtils_java,193,57
org.apache.ambari.server.state.UpgradeContext_java,191,58
org.apache.oozie.ambari.view.workflowmanager.WorkflowsRepo_java,191,58
org.apache.ambari.infra.solr.commands.DownloadConfigZkCommand_java,188,60
org.apache.ambari.logfeeder.input.InputConfigUploader_java,188,60
org.apache.ambari.logfeeder.util.S3Util_java,186,62
org.apache.ambari.logsearch.conf.SecurityConfig_java,183,63
org.apache.ambari.server.state.quicklinksprofile.LinkAttributeFilter_java,183,63
org.apache.ambari.logsearch.web.filters.LogsearchJWTFilter_java,181,65
org.apache.ambari.logsearch.config.api.LogSearchConfig_java,180,66
org.apache.ambari.infra.solr.commands.CheckZnodeZkCommand_java,180,66
org.apache.ambari.server.topology.HostRequest_java,180,66
org.apache.ambari.logsearch.doc.DocConstants_java,178,69
org.apache.ambari.logsearch.util.JSONUtil_java,177,70
org.apache.ambari.infra.solr.commands.AbstractZookeeperConfigCommand_java,176,71
org.apache.oozie.ambari.view.workflowmanager.WorkflowsManagerResource_java,174,72
org.apache.ambari.logsearch.util.DateUtil_java,173,73
org.apache.oozie.ambari.view.assets.model.ActionAsset_java,172,74
org.apache.ambari.infra.solr.commands.GetStateFileZkCommand_java,172,74
