file,bugChurn,rank
org.apache.cassandra.thrift.Cassandra_java,1258,1
org.apache.cassandra.hadoop.HadoopCompat_java,618,2
org.apache.cassandra.service.StorageService_java,583,3
org.apache.cassandra.thrift.TriggerDef_java,581,4
org.apache.cassandra.service.StorageProxy_java,437,5
org.apache.cassandra.io.sstable.IndexSummaryManager_java,434,6
org.apache.cassandra.cql3.statements.SelectStatement_java,431,7
org.apache.cassandra.service.AbstractReadExecutor_java,347,8
org.apache.cassandra.config.CFMetaData_java,321,9
org.apache.cassandra.db.ColumnFamilyStore_java,291,10
org.apache.cassandra.thrift.CfDef_java,270,11
org.apache.cassandra.db.Directories_java,264,12
org.apache.cassandra.cql3.QueryOptions_java,264,12
org.apache.cassandra.utils.ConcurrentBiMap_java,262,14
org.apache.cassandra.service.pager.AbstractQueryPager_java,244,15
org.apache.cassandra.cql3.statements.ModificationStatement_java,239,16
org.apache.cassandra.db.RangeTombstoneList_java,236,17
org.apache.cassandra.locator.TokenMetadata_java,207,18
org.apache.cassandra.cql3.QueryProcessor_java,202,19
org.apache.cassandra.transport.Frame_java,202,19
org.apache.cassandra.gms.Gossiper_java,199,21
org.apache.cassandra.net.MessagingService_java,198,22
org.apache.cassandra.streaming.management.SessionInfoCompositeData_java,163,23
org.apache.cassandra.tools.BulkLoader_java,162,24
org.apache.cassandra.transport.messages.QueryMessage_java,157,25
org.apache.cassandra.tools.NodeTool_java,156,26
org.apache.cassandra.db.compaction.CompactionManager_java,153,27
org.apache.cassandra.transport.messages.ExecuteMessage_java,153,27
org.apache.cassandra.io.sstable.IndexSummaryBuilder_java,152,29
org.apache.cassandra.io.sstable.Downsampling_java,150,30
org.apache.cassandra.db.compaction.Scrubber_java,147,31
org.apache.cassandra.tools.NodeProbe_java,146,32
org.apache.cassandra.io.sstable.IndexSummary_java,140,33
org.apache.cassandra.db.SystemKeyspace_java,138,34
org.apache.cassandra.config.DatabaseDescriptor_java,134,35
org.apache.cassandra.io.util.Memory_java,123,36
org.apache.cassandra.service.MigrationManager_java,122,37
org.apache.cassandra.gms.FailureDetector_java,119,38
org.apache.cassandra.streaming.ConnectionHandler_java,117,39
org.apache.cassandra.db.DeletionInfo_java,111,40
org.apache.cassandra.thrift.CassandraServer_java,108,41
org.apache.cassandra.locator.AbstractReplicationStrategy_java,108,41
org.apache.cassandra.db.ConsistencyLevel_java,105,43
org.apache.cassandra.locator.GossipingPropertyFileSnitch_java,104,44
org.apache.cassandra.streaming.management.ProgressInfoCompositeData_java,103,45
org.apache.cassandra.streaming.management.StreamStateCompositeData_java,102,46
org.apache.cassandra.thrift.CqlMetadata_java,96,47
org.apache.cassandra.streaming.messages.OutgoingFileMessage_java,92,48
org.apache.cassandra.service.pager.MultiPartitionPager_java,89,49
org.apache.cassandra.cql3.Maps_java,88,50
org.apache.cassandra.thrift.KsDef_java,84,51
org.apache.cassandra.streaming.management.StreamSummaryCompositeData_java,82,52
org.apache.cassandra.cql3.Lists_java,80,53
org.apache.cassandra.streaming.messages.IncomingFileMessage_java,78,54
org.apache.cassandra.streaming.management.StreamEventJMXNotifier_java,78,54
org.apache.cassandra.cql3.Sets_java,75,56
org.apache.cassandra.stress.Operation_java,74,57
org.apache.cassandra.net.AsyncOneResponse_java,72,58
org.apache.cassandra.streaming.StreamReceiveTask_java,72,58
org.apache.cassandra.streaming.management.SessionCompleteEventCompositeData_java,71,60
org.apache.cassandra.metrics.DefaultNameFactory_java,71,60
org.apache.cassandra.service.CassandraDaemon_java,70,62
org.apache.cassandra.db.compaction.CompactionController_java,70,62
org.apache.cassandra.hadoop.cql3.CqlRecordWriter_java,69,64
org.apache.cassandra.io.util.FileUtils_java,67,65
org.apache.cassandra.db.compaction.LeveledManifest_java,64,66
org.apache.cassandra.thrift.CqlPreparedResult_java,64,66
org.apache.cassandra.cql3.statements.AlterTableStatement_java,59,68
org.apache.cassandra.streaming.messages.ReceivedMessage_java,57,69
org.apache.cassandra.db.marshal.CompositeType_java,55,70
org.apache.cassandra.service.paxos.ProposeCallback_java,54,71
org.apache.cassandra.streaming.StreamSession_java,53,72
org.apache.cassandra.cql3.VariableSpecifications_java,52,73
org.apache.cassandra.thrift.ThriftValidation_java,51,74
org.apache.cassandra.io.sstable.IndexSummaryManagerMBean_java,48,75
org.apache.cassandra.transport.RequestThreadPoolExecutor_java,46,76
org.apache.cassandra.tracing.Tracing_java,45,77
org.apache.cassandra.db.commitlog.CommitLogReplayer_java,45,77
org.apache.cassandra.cache.AutoSavingCache_java,45,77
org.apache.cassandra.streaming.messages.StreamMessage_java,44,80
org.apache.cassandra.config.YamlConfigurationLoader_java,43,81
org.apache.cassandra.db.ColumnIndex_java,43,81
org.apache.cassandra.locator.DynamicEndpointSnitch_java,43,81
org.apache.cassandra.db.HintedHandOffManager_java,42,84
org.apache.cassandra.db.commitlog.CommitLogSegment_java,40,85
org.apache.cassandra.metrics.ReadRepairMetrics_java,40,85
org.apache.cassandra.streaming.StreamManager_java,40,85
org.apache.cassandra.db.marshal.CollectionType_java,38,88
org.apache.cassandra.cache.CacheKey_java,38,88
org.apache.cassandra.thrift.CqlRow_java,36,90
org.apache.cassandra.streaming.StreamReader_java,36,90
org.apache.cassandra.thrift.CqlResult_java,36,90
org.apache.cassandra.db.marshal.MapType_java,36,90
org.apache.cassandra.tools.SSTableMetadataViewer_java,36,90
org.apache.cassandra.cql3.statements.BatchStatement_java,36,90
