file,bugChurn,rank
org.apache.hadoop.hbase.regionserver.RegionCoprocessorHost_java,2108,1
org.apache.hadoop.hbase.master.MasterCoprocessorHost_java,1785,2
org.apache.hadoop.hbase.http.HttpServer_java,1362,3
org.apache.hadoop.hbase.ipc.RpcServer_java,763,4
org.apache.hadoop.hbase.client.Table_java,601,5
org.apache.hadoop.hbase.http.jmx.JMXJsonServlet_java,450,6
org.apache.hadoop.hbase.regionserver.HRegion_java,394,7
org.apache.hadoop.hbase.GenericTestUtils_java,365,8
org.apache.hadoop.hbase.http.ssl.KeyStoreTestUtil_java,365,8
org.apache.hadoop.hbase.master.balancer.BaseLoadBalancer_java,332,10
org.apache.hadoop.hbase.io.hfile.bucket.BucketCache_java,331,11
org.apache.hadoop.hbase.security.access.AccessController_java,325,12
org.apache.hadoop.hbase.client.RpcRetryingCallerWithReadReplicas_java,278,13
org.apache.hadoop.hbase.master.RegionState_java,278,13
org.apache.hadoop.hbase.util.HBaseFsck_java,269,15
org.apache.hadoop.hbase.regionserver.HRegionServer_java,267,16
org.apache.hadoop.hbase.http.HtmlQuoting_java,215,17
org.apache.hadoop.hbase.ipc.RpcClient_java,210,18
org.apache.hadoop.hbase.regionserver.RegionServerCoprocessorHost_java,196,19
org.apache.hadoop.hbase.http.log.LogLevel_java,175,20
org.apache.hadoop.hbase.TimedOutTestsListener_java,175,20
org.apache.hadoop.hbase.util.LoadTestTool_java,164,22
org.apache.hadoop.hbase.protobuf.ProtobufUtil_java,160,23
org.apache.hadoop.hbase.master.HMaster_java,156,24
org.apache.hadoop.hbase.http.lib.StaticUserWebFilter_java,151,25
org.apache.hadoop.hbase.zookeeper.MetaTableLocator_java,150,26
org.apache.hadoop.hbase.filter.FuzzyRowFilter_java,150,26
org.apache.hadoop.hbase.PerformanceEvaluation_java,149,28
org.apache.hadoop.hbase.util.FSUtils_java,146,29
org.apache.hadoop.hbase.regionserver.RSRpcServices_java,129,30
org.apache.hadoop.hbase.client.HTable_java,118,31
org.apache.hadoop.hbase.http.conf.ConfServlet_java,107,32
org.apache.hadoop.hbase.io.hfile.package-info_java,102,33
org.apache.hadoop.hbase.zookeeper.RecoverableZooKeeper_java,97,34
org.apache.hadoop.hbase.master.balancer.StochasticLoadBalancer_java,94,35
org.apache.hadoop.hbase.client.AsyncProcess_java,92,36
org.apache.hadoop.hbase.http.HttpRequestLog_java,92,36
org.apache.hadoop.hbase.io.hfile.CacheConfig_java,91,38
org.apache.hadoop.hbase.http.InfoServer_java,90,39
org.apache.hadoop.hbase.io.hfile.HFile_java,90,39
org.apache.hadoop.hbase.mapreduce.Import_java,89,41
org.apache.hadoop.hbase.master.ServerManager_java,88,42
org.apache.hadoop.hbase.io.hfile.LruBlockCache_java,84,43
org.apache.hadoop.hbase.security.access.SecureBulkLoadEndpoint_java,77,44
org.apache.hadoop.hbase.http.HttpConfig_java,77,44
org.apache.hadoop.hbase.util.ModifyRegionUtils_java,74,46
org.apache.hadoop.hbase.snapshot.SnapshotReferenceUtil_java,70,47
org.apache.hadoop.hbase.procedure.ProcedureCoordinator_java,67,48
org.apache.hadoop.hbase.mapreduce.LoadIncrementalHFiles_java,65,49
org.apache.hadoop.hbase.security.visibility.VisibilityController_java,64,50
org.apache.hadoop.hbase.mapreduce.TableMapReduceUtil_java,64,50
org.apache.hadoop.hbase.http.resource.JerseyResource_java,64,50
org.apache.hadoop.hbase.chaos.factories.StressAssignmentManagerMonkeyFactory_java,64,50
org.apache.hadoop.hbase.snapshot.SnapshotInfo_java,63,54
org.apache.hadoop.hbase.http.HttpRequestLogAppender_java,63,54
org.apache.hadoop.hbase.HBaseTestingUtility_java,58,56
org.apache.hadoop.hbase.replication.regionserver.ReplicationSourceManager_java,58,56
org.apache.hadoop.hbase.regionserver.MemStoreFlusher_java,57,58
org.apache.hadoop.hbase.KeyValue_java,56,59
org.apache.hadoop.hbase.io.hfile.bucket.BucketAllocator_java,55,60
org.apache.hadoop.hbase.client.Scan_java,53,61
org.apache.hadoop.hbase.http.NoCacheFilter_java,52,62
org.apache.hadoop.hbase.client.Query_java,51,63
org.apache.hadoop.hbase.http.AdminAuthorizedServlet_java,49,64
org.apache.hadoop.hbase.client.HTableMultiplexer_java,47,65
org.apache.hadoop.hbase.CellUtil_java,47,65
org.apache.hadoop.hbase.http.ServerConfigurationKeys_java,47,65
org.apache.hadoop.hbase.regionserver.HMobStore_java,46,68
org.apache.hadoop.hbase.snapshot.RestoreSnapshotHelper_java,45,69
org.apache.hadoop.hbase.HBaseCommonTestingUtility_java,45,69
org.apache.hadoop.hbase.regionserver.StoreFileScanner_java,42,71
org.apache.hadoop.hbase.regionserver.handler.OpenRegionHandler_java,42,71
org.apache.hadoop.hbase.master.SplitLogManager_java,42,71
org.apache.hadoop.hbase.http.FilterContainer_java,41,74
org.apache.hadoop.hbase.procedure.ProcedureMember_java,41,74
org.apache.hadoop.hbase.regionserver.StoreFile_java,39,76
org.apache.hadoop.hbase.IntegrationTestIngestWithACL_java,38,77
org.apache.hadoop.hbase.http.lib.package-info_java,38,77
org.apache.hadoop.hbase.client.RowTooBigException_java,35,79
org.apache.hadoop.hbase.security.visibility.VisibilityControllerNotReadyException_java,35,79
org.apache.hadoop.hbase.client.ConnectionUtils_java,34,81
org.apache.hadoop.hbase.HBaseConfiguration_java,33,82
org.apache.hadoop.hbase.rest.client.Client_java,33,82
org.apache.hadoop.hbase.security.HBaseSaslRpcServer_java,33,82
org.apache.hadoop.hbase.regionserver.HeapMemoryManager_java,33,82
org.apache.hadoop.hbase.http.FilterInitializer_java,32,86
org.apache.hadoop.hbase.security.SaslUtil_java,32,86
org.apache.hadoop.hbase.master.MasterRpcServices_java,31,88
org.apache.hadoop.hbase.zookeeper.ZKUtil_java,30,89
org.apache.hadoop.hbase.HConstants_java,29,90
org.apache.hadoop.hbase.client.ConnectionFactory_java,29,90
org.apache.hadoop.hbase.master.snapshot.MasterSnapshotVerifier_java,29,90
org.apache.hadoop.hbase.http.package-info_java,28,93
org.apache.hadoop.hbase.regionserver.RowProcessor_java,28,93
org.apache.hadoop.hbase.security.HBaseSaslRpcClient_java,27,95
org.apache.hadoop.hbase.security.access.AccessControlClient_java,27,95
org.apache.hadoop.hbase.ipc.CallRunner_java,27,95
org.apache.hadoop.hbase.client.Get_java,26,98
org.apache.hadoop.hbase.http.jmx.package-info_java,26,98
org.apache.hadoop.hbase.util.MultiThreadedUpdaterWithACL_java,26,98
org.apache.hadoop.hbase.regionserver.wal.WALCellCodec_java,25,101
org.apache.hadoop.hbase.master.balancer.SimpleLoadBalancer_java,25,101
org.apache.hadoop.hbase.security.User_java,25,101
org.apache.hadoop.hbase.client.RpcRetryingCaller_java,25,101
org.apache.hadoop.hbase.util.FSTableDescriptors_java,25,101
org.apache.hadoop.hbase.regionserver.compactions.CompactionConfiguration_java,25,101
org.apache.hadoop.hbase.regionserver.wal.FSHLog_java,24,107
org.apache.hadoop.hbase.regionserver.compactions.DefaultCompactor_java,24,107
org.apache.hadoop.hbase.MetaTableAccessor_java,24,107
org.apache.hadoop.hbase.client.Mutation_java,23,110
org.apache.hadoop.hbase.util.RegionSplitter_java,23,110
org.apache.hadoop.hbase.ServerName_java,22,112
org.apache.hadoop.hbase.mapreduce.TableInputFormatBase_java,22,112
org.apache.hadoop.hbase.regionserver.compactions.RatioBasedCompactionPolicy_java,21,114
org.apache.hadoop.hbase.master.balancer.BalancerTestBase_java,20,115
org.apache.hadoop.hbase.ipc.SimpleRpcScheduler_java,19,116
org.apache.hadoop.hbase.client.ScannerCallableWithReplicas_java,19,116
org.apache.hadoop.hbase.master.TableNamespaceManager_java,19,116
org.apache.hadoop.hbase.regionserver.compactions.CompactionRequest_java,19,116
org.apache.hadoop.hbase.procedure.ZKProcedureUtil_java,19,116
org.apache.hadoop.hbase.master.balancer.ClusterLoadState_java,18,121
org.apache.hadoop.hbase.master.snapshot.DisabledTableSnapshotHandler_java,17,122
org.apache.hadoop.hbase.filter.FilterAllFilter_java,17,122
org.apache.hadoop.hbase.snapshot.ExportSnapshot_java,17,122
org.apache.hadoop.hbase.regionserver.StoreFileInfo_java,17,122
org.apache.hadoop.metrics2.lib.DynamicMetricsRegistry_java,16,126
org.apache.hadoop.hbase.mapreduce.IntegrationTestImportTsv_java,16,126
org.apache.hadoop.hbase.client.TableSnapshotScanner_java,16,126
org.apache.hadoop.hbase.regionserver.wal.SecureWALCellCodec_java,15,129
org.apache.hadoop.hbase.tool.Canary_java,15,129
org.apache.hadoop.hbase.regionserver.compactions.Compactor_java,14,131
org.apache.hadoop.hbase.util.MultiThreadedReaderWithACL_java,14,131
org.apache.hadoop.hbase.rest.client.RemoteHTable_java,14,131
org.apache.hadoop.hbase.rest.SchemaResource_java,14,131
org.apache.hadoop.hbase.client.Append_java,13,135
org.apache.hadoop.hbase.client.Increment_java,13,135
org.apache.hadoop.hbase.zookeeper.MiniZooKeeperCluster_java,13,135
org.apache.hadoop.hbase.mapreduce.CopyTable_java,12,138
org.apache.hadoop.hbase.mapred.TableSnapshotInputFormat_java,12,138
org.apache.hadoop.hbase.regionserver.StripeMultiFileWriter_java,11,140
org.apache.hadoop.hbase.regionserver.RowTooBigException_java,11,140
org.apache.hadoop.hbase.mapreduce.ImportTsv_java,11,140
org.apache.hadoop.hbase.regionserver.DefaultStoreFlusher_java,11,140
org.apache.hadoop.hbase.mapreduce.TableSnapshotInputFormatImpl_java,11,140
org.apache.hadoop.hbase.master.HMasterCommandLine_java,10,145
org.apache.hadoop.hbase.io.hfile.bucket.FileIOEngine_java,10,145
org.apache.hadoop.hbase.security.access.AccessControlFilter_java,10,145
org.apache.hadoop.hbase.mapred.TableSplit_java,10,145
org.apache.hadoop.hbase.io.hfile.bucket.ByteBufferIOEngine_java,10,145
org.apache.hadoop.hbase.regionserver.BaseRowProcessor_java,10,145
org.apache.hadoop.hbase.coordination.ZKSplitLogManagerCoordination_java,10,145
org.apache.hadoop.hbase.replication.regionserver.ReplicationSource_java,10,145
org.apache.hadoop.hbase.security.token.AuthenticationKey_java,10,145
org.apache.hadoop.hbase.snapshot.SnapshotManifestV2_java,10,145
org.apache.hadoop.hbase.HRegionInfo_java,9,155
org.apache.hadoop.hbase.security.access.AccessControlLists_java,9,155
org.apache.hadoop.hbase.mapreduce.PutCombiner_java,9,155
org.apache.hadoop.hbase.rest.RESTServlet_java,9,155
org.apache.hadoop.hbase.thrift2.ThriftServer_java,9,155
org.apache.hadoop.hbase.TableName_java,9,155
org.apache.hadoop.hbase.zookeeper.ZKConfig_java,8,161
org.apache.hadoop.hbase.mapreduce.TableSnapshotInputFormat_java,8,161
org.apache.hadoop.hbase.regionserver.wal.ProtobufLogReader_java,8,161
org.apache.hadoop.hbase.regionserver.wal.ReaderBase_java,8,161
org.apache.hadoop.hbase.util.JenkinsHash_java,8,161
org.apache.hadoop.hbase.util.FSRegionScanner_java,8,161
org.apache.hadoop.hbase.io.ImmutableBytesWritable_java,8,161
