file,bugChurn,rank
org.apache.hadoop.hive.metastore.api.ThriftHiveMetastore_java,3139,1
org.apache.hadoop.hive.metastore.Metastore_java,1331,2
org.apache.hadoop.hive.llap.daemon.rpc.LlapDaemonProtocolProtos_java,1059,3
org.apache.hadoop.hive.metastore.txn.TxnHandler_java,934,4
org.apache.hadoop.hive.ql.io.orc.OrcInputFormat_java,889,5
org.apache.hadoop.hive.metastore.api.TableMeta_java,701,6
org.apache.hadoop.hive.ql.exec.tez.TezSessionPoolManager_java,648,7
org.apache.hadoop.hive.ql.optimizer.calcite.stats.HiveRelMdPredicates_java,645,8
org.apache.hadoop.hive.metastore.txn.CompactionTxnHandler_java,626,9
org.apache.hadoop.hive.ql.io.orc.WriterImpl_java,550,10
org.apache.hadoop.hive.ql.optimizer.PartitionColumnsSeparator_java,525,11
org.apache.hadoop.hive.conf.HiveConf_java,469,12
org.apache.hadoop.hive.ql.parse.SemanticAnalyzer_java,461,13
org.apache.hadoop.hive.ql.optimizer.stats.annotation.StatsRulesProcFactory_java,408,14
org.apache.hadoop.hive.ql.exec.DDLTask_java,380,15
org.apache.hadoop.hive.ql.parse.CalcitePlanner_java,358,16
org.apache.hadoop.hive.ql.metadata.Hive_java,347,17
org.apache.hadoop.hive.ql.exec.tez.TezSessionState_java,307,18
org.apache.hadoop.hive.ql.exec.SerializationUtilities_java,302,19
org.apache.hive.hcatalog.streaming.HiveEndPoint_java,283,20
org.apache.hadoop.hive.metastore.ObjectStore_java,279,21
org.apache.hadoop.hive.ql.io.HiveFileFormatUtils_java,261,22
org.apache.hadoop.hive.metastore.HiveMetaStore_java,260,23
org.apache.hadoop.hive.ql.stats.StatsUtils_java,256,24
org.apache.hadoop.hive.metastore.api.GetFileMetadataByExprRequest_java,252,25
org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer_java,246,26
org.apache.hadoop.hive.ql.optimizer.calcite.rules.HivePreFilteringRule_java,240,27
org.apache.hadoop.hive.ql.exec.vector.VectorizationContext_java,228,28
org.apache.hadoop.hive.llap.cli.LlapServiceDriver_java,219,29
org.apache.hadoop.hive.metastore.MetaStoreDirectSql_java,216,30
org.apache.hadoop.hive.ql.optimizer.physical.Vectorizer_java,213,31
org.apache.hadoop.hive.common.StatsSetupConst_java,211,32
